#TYPE     Mobile Source Criteria Inventory,,,,,,,CVID,Horas,Uso,
1011,2201001330,PM10,0.5548984,6,CST,,1000,6,CST,0.0022196
1011,2201001330,PM25,0.2491935,6,CST,,1001,6,CST,0.0009968
1011,2201001330,NOx,26.1741657,6,CST,,1002,6,CST,0.1046967
1011,2201001330,SO2,1.5286247,6,CST,,1003,6,CST,0.0061145
1011,2201001330,CO,312.9729004,6,CST,,1004,6,CST,1.2518916
1011,2201001330,VOC,34.7465248,6,CST,,1005,6,CST,0.1389861
1011,2201001330,NH3,2.2930408,6,CST,,1006,6,CST,0.0091722
1011,2201020330,PM10,0.4932881,6,CST,,1007,6,CST,0.0019732
1011,2201020330,PM25,0.2349832,6,CST,,1008,6,CST,0.0009399
1011,2201020330,NOx,25.3717194,6,CST,,1009,6,CST,0.1014869
1011,2201020330,SO2,1.610018,6,CST,,1010,6,CST,0.0064401
1011,2201020330,CO,339.7047729,6,CST,,1011,6,CST,1.3588191
1011,2201020330,VOC,40.2481384,6,CST,,2000,8,PST,0.1609925
1011,2201020330,NH3,1.7987444,6,CST,,2001,8,PST,0.007195
1011,2201040330,PM10,0.1257855,6,CST,,2002,8,PST,0.0005031
1011,2201040330,PM25,0.0610508,6,CST,,2003,8,PST,0.0002442
1011,2201040330,NOx,5.4299674,6,CST,,2004,8,PST,0.0217199
1011,2201040330,SO2,0.5291527,6,CST,,2005,8,PST,0.0021166
1011,2201040330,CO,79.8118896,6,CST,,2020,8,PST,0.3192475
1011,2201040330,VOC,8.3407669,6,CST,,3000,8,PST,0.0333631
1011,2201040330,NH3,0.4407384,6,CST,,3001,8,PST,0.001763
1011,2201020330,PM10,0.0433864,6,CST,,3002,8,PST,0.0001735
1011,2201020330,PM25,0.0198286,6,CST,,3003,8,PST,0.0000793
1011,2201020330,NOx,1.9562145,6,CST,,3008,8,PST,0.0078249
1011,2201020330,SO2,0.1974943,6,CST,,3009,8,PST,0.00079
1011,2201020330,CO,16.9069366,6,CST,,4000,6,CST,0.0676277
1011,2201020330,VOC,1.7022786,6,CST,,4001,6,CST,0.0068091
1011,2201020330,NH3,0.1721964,6,CST,,4002,6,CST,0.0006888
1011,2201070330,PM10,0.0096791,6,CST,,4003,6,CST,0.0000387
1011,2201070330,PM25,0.0063513,6,CST,,4004,6,CST,0.0000254
1011,2201070330,NOx,0.3726229,6,CST,,4005,6,CST,0.0014905
1011,2201070330,SO2,0.0140565,6,CST,,4006,6,CST,0.0000562
1011,2201070330,CO,14.9042606,6,CST,,4007,6,CST,0.059617
1011,2201070330,VOC,0.7632443,6,CST,,4008,6,CST,0.003053
1011,2201070330,NH3,0.0027907,6,CST,,4009,6,CST,0.0000112
1011,2230072330,PM10,0.0444002,6,CST,,4010,6,CST,0.0001776
1011,2230072330,PM25,0.0313242,6,CST,,4011,6,CST,0.0001253
1011,2230072330,NOx,4.6020741,6,CST,,5000,6,CST,0.0184083
1011,2230072330,SO2,0.2070546,6,CST,,5001,6,CST,0.0008282
1011,2230072330,CO,1.1634358,6,CST,,5002,6,CST,0.0046537
1011,2230072330,VOC,1.0134808,6,CST,,5003,6,CST,0.0040539
1011,2230072330,NH3,0.0180195,6,CST,,5004,6,CST,0.0000721
1011,2230073330,PM10,0.4565195,6,CST,,5005,6,CST,0.0018261
1011,2230073330,PM25,0.4007661,6,CST,,5006,6,CST,0.0016031
1011,2230073330,NOx,18.1093273,6,CST,,5007,6,CST,0.0724373
1011,2230073330,SO2,0.5496098,6,CST,,5008,6,CST,0.0021984
1011,2230073330,CO,23.2656517,6,CST,,5009,6,CST,0.0930626
1011,2230073330,VOC,4.2272396,6,CST,,5010,6,CST,0.016909
1011,2230073330,NH3,0.0364626,6,CST,,5011,6,CST,0.0001459
1011,2230074330,PM10,0.489801,6,CST,,5012,6,CST,0.0019592
1011,2230074330,PM25,0.3470262,6,CST,,5013,6,CST,0.0013881
1011,2230074330,NOx,56.9550781,6,CST,,5014,6,CST,0.2278203
1011,2230074330,SO2,1.7165377,6,CST,,5015,6,CST,0.0068662
1011,2230074330,CO,58.7341957,6,CST,,5016,6,CST,0.2349368
1011,2230074330,VOC,7.6629052,6,CST,,5017,6,CST,0.0306516
1011,2230074330,NH3,0.0922073,6,CST,,5018,6,CST,0.0003688
1011,2201080330,PM10,0.0701013,6,CST,,5019,6,CST,0.0002804
1011,2201080330,PM25,0.0388399,6,CST,,5020,6,CST,0.0001554
1011,2201080330,NOx,0.9370834,6,CST,,5021,6,CST,0.0037483
1011,2201080330,SO2,0.0617649,6,CST,,5022,6,CST,0.0002471
1011,2201080330,CO,68.4025269,6,CST,,5023,6,CST,0.2736101
1011,2201080330,VOC,17.9249058,6,CST,,5024,6,CST,0.0716996
1011,2201080330,NH3,0.0214093,6,CST,,5025,6,CST,0.0000856
1011,2230075330,PM10,0.1056134,6,CST,,5026,6,CST,0.0004225
1011,2230075330,PM25,0.0920401,6,CST,,5027,6,CST,0.0003682
1011,2230075330,NOx,6.7633796,6,CST,,5028,6,CST,0.0270535
1011,2230075330,SO2,0.2653252,6,CST,,5029,6,CST,0.0010613
1011,2230075330,CO,12.0539293,6,CST,,5030,6,CST,0.0482157
1011,2230075330,VOC,1.1973665,6,CST,,5031,6,CST,0.0047895
1011,2230075330,NH3,0.0097178,6,CST,,5032,6,CST,0.0000389
1011,2201001330,PM10,0.0094898,6,CST,,5033,6,CST,0.000038
1011,2201001330,PM25,0.004234,6,CST,,5034,6,CST,0.0000169
1011,2201001330,NOx,0.5501625,6,CST,,5035,6,CST,0.0022007
1011,2201001330,SO2,0.0261392,6,CST,,5036,6,CST,0.0001046
1011,2201001330,CO,4.1851287,6,CST,,5037,6,CST,0.0167405
1011,2201001330,VOC,0.3600011,6,CST,,5038,6,CST,0.00144
1011,2201001330,NH3,0.0394082,6,CST,,6000,6,CST,0.0001576
1011,2201020330,PM10,0.0009912,6,CST,,6001,6,CST,0.000004
1011,2201020330,PM25,0.000436,6,CST,,6002,6,CST,0.0000017
1011,2201020330,NOx,0.0433391,6,CST,,6003,6,CST,0.0001734
1011,2201020330,SO2,0.0036154,6,CST,,6004,6,CST,0.0000145
1011,2201020330,CO,0.2483404,6,CST,,6005,6,CST,0.0009934
1011,2201020330,VOC,0.0203358,6,CST,,6006,6,CST,0.0000813
1011,2201020330,NH3,0.004183,6,CST,,6007,6,CST,0.0000167
1011,2230075330,PM10,0.0389221,6,CST,,6008,6,CST,0.0001557
1011,2230075330,PM25,0.0352362,6,CST,,6009,6,CST,0.0001409
1011,2230075330,NOx,0.8449355,6,CST,,6010,6,CST,0.0033797
1011,2230075330,SO2,0.0310212,6,CST,,7000,6,CST,0.0001241
1011,2230075330,CO,1.5604141,6,CST,,7001,6,CST,0.0062417
1011,2230075330,VOC,0.2179717,6,CST,,7002,6,CST,0.0008719
1011,2230075330,NH3,0.0010863,6,CST,,7003,6,CST,0.0000043
1010,2201001330,PM10,0.1828519,6,CST,,7004,6,CST,0.0007314
1010,2201001330,PM25,0.0821152,6,CST,,7005,6,CST,0.0003285
1010,2201001330,NOx,8.6249218,6,CST,,7006,6,CST,0.0344997
1010,2201001330,SO2,0.503723,6,CST,,7007,6,CST,0.0020149
1010,2201001330,CO,103.1275787,6,CST,,7008,6,CST,0.4125103
1010,2201001330,VOC,11.4507608,6,CST,,7009,6,CST,0.045803
1010,2201001330,NH3,0.7556089,6,CST,,7010,6,CST,0.0030224
1010,2201020330,PM10,0.3067919,6,CST,,7011,6,CST,0.0012272
1010,2201020330,PM25,0.147022,6,CST,,7012,6,CST,0.0005881
1010,2201020330,NOx,15.9269371,6,CST,,7013,6,CST,0.0637077
1010,2201020330,SO2,0.9923543,6,CST,,7014,6,CST,0.0039694
1010,2201020330,CO,222.3442688,6,CST,,7015,6,CST,0.8893771
1010,2201020330,VOC,26.4674835,6,CST,,7016,6,CST,0.1058699
1010,2201020330,NH3,1.1042985,6,CST,,7017,6,CST,0.0044172
1010,2201040330,PM10,0.0850522,6,CST,,7018,6,CST,0.0003402
1010,2201040330,PM25,0.0412923,6,CST,,7019,6,CST,0.0001652
1010,2201040330,NOx,3.6714537,6,CST,,7020,6,CST,0.0146858
1010,2201040330,SO2,0.3576551,6,CST,,7021,6,CST,0.0014306
1010,2201040330,CO,54.0701752,6,CST,,7022,6,CST,0.2162807
1010,2201040330,VOC,5.6549163,6,CST,,7023,6,CST,0.0226197
1010,2201040330,NH3,0.2978172,6,CST,,7024,6,CST,0.0011913
1010,2201020330,PM10,0.0295123,6,CST,,7025,6,CST,0.000118
1010,2201020330,PM25,0.0134821,6,CST,,7026,6,CST,0.0000539
1010,2201020330,NOx,1.3314637,6,CST,,7027,6,CST,0.0053259
1010,2201020330,SO2,0.1344059,6,CST,,7028,6,CST,0.0005376
1010,2201020330,CO,11.4494848,6,CST,,7029,6,CST,0.0457979
1010,2201020330,VOC,1.1519973,6,CST,,7030,6,CST,0.004608
