 ANNSO2 Lat,Lon,Capa, H1,H2,H3,H4,H5,H6,H7,H8,H9,to Hr24
 24090, 2008-04-09_00:00:00, WND
   15103,  4,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02,  1.4347067E+02
   17531,  4,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
   19239,  3,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
   31977,  3,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01
   31977,  3,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01
   31977,  3,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
   31977,  3,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01
   31977,  3,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01,  3.5615444E+01
   46050,  3,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02,  2.5424603E-02
   46050,  3,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01,  3.0432299E+01
   46050,  3,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00,  0.0000000E+00
