GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
 25920,14036, 0.2503515, 0.0367259, 0.9492291,  3383,   188,  13513,   5119,   3762
 25921,14036, 0.0000000, 0.2660676, 0.3620415,     0,  1362,  13513,   5119,   3762
 25922,14007, 1.0007445, 0.5012773, 0.3833727,  5377,  1766,   5373,   3523,  18632
 25923,14055, 0.0000000, 0.1920893, 0.0460110,     0,   981,  16214,   5107,  21321
 25925,14005, 0.6994367, 0.1809445, 0.5705215,  7698,   659,  11006,   3642,  14648
 25926,14005, 0.3242777, 0.1699616, 0.2387005,  3569,   619,  11006,   3642,  17545
 25927,14120, 0.0000000, 0.0019519, 0.0000330,     0,    41,1222752,  21005,1243756
 25928,14120, 0.0441938, 0.0289455, 0.0439363, 54038,   608,1222752,  21005,1243756
 25929,14120, 0.0096160, 0.2771245, 0.0141338, 11758,  5821,1222752,  21005,1243756
 25930,14045, 0.5950307, 0.2977278, 0.0060309,  3688,  3813,   6198,  12807,1243756
 25931,14045, 0.9515973, 0.1430468, 0.4067351,  5898,  1832,   6198,  12807,  19005
 25932,14045, 0.0000000, 0.3231826, 0.2177848,     0,  4139,   6198,  12807,  19005
 25933,14029, 0.0000000, 0.0819797, 0.0565641,     0,  1075,   4682,  13113,  19005
 25934,14001, 0.0000000, 0.1200086, 0.0628266,     0,  1118,  11890,   9316,  17795
 25935,14001, 0.0000000, 0.0835122, 0.0366877,     0,   778,  11890,   9316,  21206
 25936,14001, 1.6158957, 0.1613353, 0.1521859, 19213,  1503,  11890,   9316, 136123
 25937,14093, 0.5691593, 0.1309909, 0.5075042, 66574,  2509, 116969,  19154, 136123
 25938,14093, 0.0019236, 0.0389997, 0.0071406,   225,   747, 116969,  19154, 136123
 25939,14093, 0.1118501, 0.1224809, 0.1133460, 13083,  2346, 116969,  19154, 136123
 25940,14008, 0.0000000, 0.0261898, 0.0245092,     0,   432,  56316,  16495,  17626
 25941,14008, 0.0084878, 0.0360109, 0.0147228,   478,   594,  56316,  16495,  72812
 25942,14008, 0.0000000, 0.0290391, 0.0065786,     0,   479,  56316,  16495,  72812
 25943,14008, 0.0000000, 0.0534101, 0.0120997,     0,   881,  56316,  16495,  72812
 25944,14008, 0.0000000, 0.0598363, 0.0135555,     0,   987,  56316,  16495,  72812
 25945,11008, 0.0000000, 0.0876709, 0.0295516,     0,  2033,  13956,  23189,  68795
 25946,11008, 0.0000000, 0.1159170, 0.0390726,     0,  2688,  13956,  23189,  68795
 25947,11008, 0.0000000, 0.1660270, 0.0338998,     0,  3850,  13956,  23189, 113570
 25948,11008, 0.0000000, 0.2315753, 0.0472836,     0,  5370,  13956,  23189, 113570
 25949,11026, 0.0000000, 0.1431833, 0.0447301,     0,  5080,  21176,  35479, 113570
 25950,11026, 0.0000000, 0.2471603, 0.1547789,     0,  8769,  21176,  35479,  56655
 25951,11026, 0.6955988, 0.1626314, 0.3618392, 14730,  5770,  21176,  35479,  56655
 25952,11017, 0.0000000, 0.1013421, 0.0562523,     0,  9733, 433399,  96041, 173024
 25953,11015, 0.0989781, 0.3480119, 0.0531222, 12572, 15553, 127018,  44691, 529440
 25954,11015, 0.0000000, 0.0766150, 0.0064672,     0,  3424, 127018,  44691, 529440
 25955,11017, 0.0000000, 0.0042065, 0.0015495,     0,   404, 433399,  96041, 260732
 25956,11003, 0.0000000, 0.0083557, 0.0089757,     0,   711,  75291,  85092,  79214
 25957,11003, 0.0000000, 0.0187679, 0.0099574,     0,  1597,  75291,  85092, 160383
 25958,11003, 0.0000000, 0.0173459, 0.0189732,     0,  1476,  75291,  85092,  77794
 25959,11003, 0.0000000, 0.0842852, 0.0921922,     0,  7172,  75291,  85092,  77794
 25960,11003, 0.0000000, 0.0179570, 0.0196416,     0,  1528,  75291,  85092,  77794
 25961,11003, 0.0000000, 0.0477953, 0.0522791,     0,  4067,  75291,  85092,  77794
 25962,11003, 0.0000000, 0.0243736, 0.0025465,     0,  2074,  75291,  85092, 814466
 25963,11003, 0.1055637, 0.0964956, 0.0198400,  7948,  8211,  75291,  85092, 814466
 25964,22011, 0.0474386, 0.1549590, 0.0138643,  2980,  8312,  62818,  53640, 814466
 25965,22011, 0.0000000, 0.0838926, 0.0386405,     0,  4500,  62818,  53640, 116458
 25966,22005, 0.0000000, 0.1021435, 0.0373182,     0,  4346,  15623,  42548, 116458
 25967,22005, 0.0000000, 0.0480164, 0.0351206,     0,  2043,  15623,  42548,  58171
 25968,22005, 0.2191641, 0.0180972, 0.0720978,  3424,   770,  15623,  42548,  58171
 25969,22018, 0.0000000, 0.0059422, 0.0044744,     0,   118,   6514,  19858,  26372
 25970,22004, 0.1608749, 0.0197281, 0.1348779,  2611,   946,  16230,  47952,  26372
 25971,22004, 0.0000000, 0.0369536, 0.0671925,     0,  1772,  16230,  47952,  26372
 25972,22004, 0.0000000, 0.0860235, 0.0642694,     0,  4125,  16230,  47952,  64183
 25973,22004, 0.0000000, 0.0507174, 0.0378917,     0,  2432,  16230,  47952,  64183
 25974,22004, 0.0000000, 0.0360152, 0.0269074,     0,  1727,  16230,  47952,  64183
 25975,13084, 0.0000000, 0.0374313, 0.0245612,     0,   946,  13243,  25273,  38516
 25976,13084, 0.0000000, 0.0331183, 0.0217312,     0,   837,  13243,  25273,  38516
 25977,13043, 0.0000000, 0.2533184, 0.0411258,     0,  1584,    361,   6253,  38516
 25978,13043, 0.9085873, 0.4335519, 0.4594799,   328,  2711,    361,   6253,   6614
 25979,13031, 0.0000000, 0.1046609, 0.0900236,     0,   878,   4415,   8389,   9753
 25980,13015, 0.0000000, 0.0668618, 0.1218087,     0,  1188,    659,  17768,   9753
 25981,13020, 0.0000000, 0.2705667, 0.0606993,     0,   592,    612,   2188,   9753
 25982,13020, 1.2009804, 0.5045704, 0.5759474,   735,  1104,    612,   2188,   3193
 25983,13020, 7.3366013, 0.7463437, 0.8364754,  4490,  1633,    612,   2188,   7320
 25984,13079, 0.9338118, 0.3918563, 0.4846995,  1171,  2377,   1254,   6066,   7320
 25985,13068, 0.0000000, 0.2358012, 0.3998634,     0,  2927,   1624,  12413,   7320
 25986,13068, 0.4415025, 0.4077983, 0.4257090,   717,  5062,   1624,  12413,  13575
 25987,30076, 0.0446304, 0.5308757, 0.4945911,    32,  6826,    717,  12858,  13866
 25988,13078, 0.4771540, 0.5277445, 0.7201067,   731,  9254,   1532,  17535,  13866
 25989,13078, 0.0000000, 0.3393213, 0.4291072,     0,  5950,   1532,  17535,  13866
 25990,30027, 0.0000000, 0.5975554, 0.1835006,     0,  9142,   1393,  15299,  49820
 25991,30083, 0.0000000, 0.1619394, 0.1502409,     0,  7485,   3599,  46221,  49820
 25992,30083, 0.0000000, 0.0784276, 0.0727619,     0,  3625,   3599,  46221,  49820
 25993,21064, 0.1230300, 0.0900616, 0.0980332,   484,  1111,   3934,  12336,  16270
 25994,21064, 0.0000000, 0.2494325, 0.0294453,     0,  3077,   3934,  12336, 104499
 25995,21064, 0.0144891, 0.4777886, 0.3188662,    57,  5894,   3934,  12336,  18663
 25996,30157, 0.9867349, 0.1454128, 0.3391202,  4240,  2089,   4297,  14366,  18663
 25997,30175, 0.0132483, 0.1126006, 0.0671575,   544,  5485,  41062,  48712,  89774
 25998,30175, 0.0000000, 0.0599236, 0.0203610,     0,  2919,  41062,  48712, 143362
 25999,30033, 0.0000000, 0.2529262, 0.0339141,     0,  4862,   4260,  19223, 143362
 26000,30033, 0.0000000, 0.1456589, 0.0195310,     0,  2800,   4260,  19223, 143362
 26001,30033, 0.0000000, 0.0629975, 0.0515692,     0,  1211,   4260,  19223,  23483
 26081,04001, 0.0000000, 0.2071573, 0.0445453,     0,  2356,  41517,  11373,  52890
 26082,04001, 0.1411229, 0.0024620, 0.1113065,  5859,    28,  41517,  11373,  52890
 26083,04001, 0.4307633, 0.3394883, 0.4111363, 17884,  3861,  41517,  11373,  52890
 26084,04001, 0.0005299, 0.0004396, 0.0005105,    22,     5,  41517,  11373,  52890
 26086,31066, 0.0000000, 0.0026525, 0.0002609,     0,     1,   3456,    377,   3833
 26087,31066, 0.0000000, 0.0053050, 0.0005218,     0,     2,   3456,    377,   3833
 26088,31066, 0.9016436, 0.0132626, 0.9029481,  3456,     5,   3456,    377,   3833
 26090,31056, 0.0343782, 0.3676353, 0.1051662,   794,  2290,  23096,   6229,  29325
 26091,31003, 2.3034890, 1.6451613, 0.8096846, 23438,   306,  10175,    186,  29325
 26092,31003, 0.1573464, 8.3763437, 0.3048639,  1601,  1558,  10175,    186,  10362
 26093,31079, 0.0000000, 0.1514570, 0.0447382,     0,  1814,  28570,  11977,  40547
 26094,31079, 0.0000000, 0.0940970, 0.0277949,     0,  1127,  28570,  11977,  40547
 26095,31094, 0.0000000, 0.7132540, 0.3537716,     0,  1679,   2392,   2354,   4746
 26096,31073, 0.0000000, 0.8326241, 0.1319991,     0,   587,   3742,    705,   4447
 26097,31073, 0.0000000, 0.0085106, 0.0013492,     0,     6,   3742,    705,   4447
 26098,31058, 0.0000000, 0.0011526, 0.0002070,     0,     5,  19821,   4338,  24159
 26099,31058, 0.0000000, 0.0467958, 0.0137144,     0,   203,  19821,   4338,  14802
